year,class_group,assessed_value,estimated_net_tax_from_rate,estimated_gross_tax_from_rate
2019,Residential,382862505060.0,6854311201.30585,7471755863.885441
2020,Agricultural,5074154297.0,83280745.93530029,91709773.90659685
2020,Commercial,115245226810.0,2315332754.589069,2491499779.6401434
2020,Industrial,15380822400.0,303122334.7471848,326202866.81961125
2020,Other,21395303722.0,339252183.36590236,373819214.14717376
2020,Residential,398561077294.0,7012163891.324057,7622321283.832483
2021,Agricultural,5220468443.0,81671867.64883107,89717838.43618254
2021,Commercial,121292674137.0,2318572235.262833,2493285358.873678
2021,Industrial,15387427900.0,287824319.02357864,309413271.44530493
2021,Other,21880104660.0,331015075.8121755,363878677.6137925
2021,Residential,419637728439.0,7018952305.412039,7621445914.225419
2022,Agricultural,5390265427.0,76561910.2410454,83829773.93022154
2022,Commercial,131362674091.0,2269132384.9700055,2437304137.56182
2022,Industrial,15645227900.0,265152963.82411355,284615307.946891
2022,Other,22658932546.0,309143063.1718046,338756042.21973217
2022,Residential,457061336497.0,6941430880.49215,7521308058.016021
2023,Agricultural,5739703817.0,73833680.62742431,82376373.54336824
2023,Commercial,143561237011.0,2279428585.8582797,2489274580.834983
2023,Industrial,17097361500.0,264618873.79871833,288587508.68261975
2023,Other,23994721712.0,297406971.3060483,331944870.49395853
2023,Residential,508407414083.0,7030434393.125274,7749206912.056201
2024,Agricultural,6204169458.0,76198136.21853127,85134895.72378062
2024,Commercial,160125055762.0,2475905584.255378,2709199385.3636875
2024,Industrial,18935611300.0,283727914.7155657,310275034.96662015
2024,Other,25893720720.0,306942754.24039775,343038192.3333251
2024,Residential,567845950727.0,7612670667.184703,8411936180.7876215
